sample_id,selection_order,annotation_type,effective_default,repository,repository_url,pinned_commit,source_server,tool,source,field_unit_id,random_rank
S015,15,destructiveHint,true,korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,b88c0de3f706f4f07337c9eda7133c736d1c9524,,conversations_join,pkg/server/server.go:381,"[""korotovsky/slack-mcp-server"",""b88c0de3f706f4f07337c9eda7133c736d1c9524"","""",""conversations_join"",""destructiveHint""]",a33786d32ab0bdce30f578c416135601de7c09520a1f0ca3de611cad82aa2305
S016,16,destructiveHint,true,mark3labs/mcp-filesystem-server,https://github.com/mark3labs/mcp-filesystem-server,ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b,,read_file,filesystemserver/server.go:32,"[""mark3labs/mcp-filesystem-server"",""ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b"","""",""read_file"",""destructiveHint""]",186ce342cc6a0834964a3e1072ee31ee141f439c42ded99e9dd7c6f7dcf66997
S017,17,destructiveHint,true,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,mark_all_notifications_read,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""mark_all_notifications_read"",""destructiveHint""]",1a5809ec3c07a72dfea098515a673e8ce3f50c266e87addf88d1d19ddc3ceee7
S018,18,destructiveHint,true,mark3labs/mcp-filesystem-server,https://github.com/mark3labs/mcp-filesystem-server,ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b,,modify_file,filesystemserver/server.go:162,"[""mark3labs/mcp-filesystem-server"",""ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b"","""",""modify_file"",""destructiveHint""]",243d4f770ff6bb74077dd00d18bc205656e41d1d2faa25fa9d1d8d1a3b9edbf8
S019,19,destructiveHint,true,KnockOutEZ/wigolo,https://github.com/KnockOutEZ/wigolo,b3ccf92be3ac15ce3ad5a439be11777d992996a3,,extract,src/server.ts tools/list; description at src/instructions.ts:252,"[""KnockOutEZ/wigolo"",""b3ccf92be3ac15ce3ad5a439be11777d992996a3"","""",""extract"",""destructiveHint""]",2e74917029f677b3a8b023f010a8c8534231aba4ef59e1ce5b98f52ee5cbf37b
S020,20,destructiveHint,true,mark3labs/mcp-filesystem-server,https://github.com/mark3labs/mcp-filesystem-server,ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b,,search_within_files,filesystemserver/server.go:185,"[""mark3labs/mcp-filesystem-server"",""ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b"","""",""search_within_files"",""destructiveHint""]",2ec1009d725490866901a9cb6e1092bf915aa4d0f5734dd24ab755973ca63ea2
S021,21,idempotentHint,false,microsoft/playwright-mcp,https://github.com/microsoft/playwright-mcp,7e0457a7cbf88823bf0146d12c46ae12c6818247,,browser_navigate_back,"tools/list from locked playwright-core package with caps=vision,pdf,devtools","[""microsoft/playwright-mcp"",""7e0457a7cbf88823bf0146d12c46ae12c6818247"","""",""browser_navigate_back"",""idempotentHint""]",168bb54f4cf83ab81d16ad2c7198ebe7bb2a7f7a1688793c887ab4c6c80aa15c
S022,22,idempotentHint,false,t8y2/dbx,https://github.com/t8y2/dbx,28b34918436f4901124304b8df8ac694234e9bc2,,dbx_open_session,crates/dbx-mcp/src/server.rs:395,"[""t8y2/dbx"",""28b34918436f4901124304b8df8ac694234e9bc2"","""",""dbx_open_session"",""idempotentHint""]",14a7fbebb9f69d4f541118d8045351959b91f52a762e7c5830e686caf3cb06a9
S023,23,idempotentHint,false,mark3labs/mcp-filesystem-server,https://github.com/mark3labs/mcp-filesystem-server,ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b,,search_files,filesystemserver/server.go:98,"[""mark3labs/mcp-filesystem-server"",""ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b"","""",""search_files"",""idempotentHint""]",148daddb797b040dd51dd8d8915681bfd5be07468b96b0f8c6f47a175769dfba
S024,24,idempotentHint,false,KnockOutEZ/wigolo,https://github.com/KnockOutEZ/wigolo,b3ccf92be3ac15ce3ad5a439be11777d992996a3,,fetch,src/server.ts tools/list; description at src/instructions.ts:198,"[""KnockOutEZ/wigolo"",""b3ccf92be3ac15ce3ad5a439be11777d992996a3"","""",""fetch"",""idempotentHint""]",17778b341c85509640bcbbcf7213b650e1084233509f79ba89bd70799482568f
S025,25,idempotentHint,false,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,manage_repository_notification_subscription,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""manage_repository_notification_subscription"",""idempotentHint""]",05df8471ac6e4aefd0dfdd1b80dabd587bc2ceda83005a8eb1295891199b1251
S026,26,idempotentHint,false,korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,b88c0de3f706f4f07337c9eda7133c736d1c9524,,reactions_remove,pkg/server/server.go:224,"[""korotovsky/slack-mcp-server"",""b88c0de3f706f4f07337c9eda7133c736d1c9524"","""",""reactions_remove"",""idempotentHint""]",0ba6c553a48e4d4c929226926c30801335beab81a3cd999d1013bbd67dda3c89
S027,27,idempotentHint,false,makenotion/notion-mcp-server,https://github.com/makenotion/notion-mcp-server,1d38420769c8a1fe2d583ff1e7d2d108d4eb0b30,,API-update-a-data-source,tools/list generated from scripts/notion-openapi.json via src/openapi-mcp-server/mcp/proxy.ts:173,"[""makenotion/notion-mcp-server"",""1d38420769c8a1fe2d583ff1e7d2d108d4eb0b30"","""",""API-update-a-data-source"",""idempotentHint""]",0134733aba4bb03feb18c05f495bc72d598fc2078c7a826bfb484cfce51001a8
S028,28,idempotentHint,false,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,update_pull_request,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""update_pull_request"",""idempotentHint""]",0e6998ad7ea7606f2b3ed68c8544094b65b4bea9a895a7e7881b9beea38ee465
S029,29,idempotentHint,false,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,create_branch,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""create_branch"",""idempotentHint""]",159fc68bf4ab7078d1f21c4d6105a5019023d29393c727a20efe670d878a2259
S030,30,idempotentHint,false,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,create_pull_request,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""create_pull_request"",""idempotentHint""]",18c07991728b8edbf10ad7711d528f20b050b432b974b911d769763585db70f5
S031,31,openWorldHint,true,t8y2/dbx,https://github.com/t8y2/dbx,28b34918436f4901124304b8df8ac694234e9bc2,,dbx_list_tables,crates/dbx-mcp/src/server.rs:252,"[""t8y2/dbx"",""28b34918436f4901124304b8df8ac694234e9bc2"","""",""dbx_list_tables"",""openWorldHint""]",1fe326245c417dd8dd9c23fd58039814620446d0a3fca95063a2378a0f710ced
S032,32,openWorldHint,true,makenotion/notion-mcp-server,https://github.com/makenotion/notion-mcp-server,1d38420769c8a1fe2d583ff1e7d2d108d4eb0b30,,API-get-users,tools/list generated from scripts/notion-openapi.json via src/openapi-mcp-server/mcp/proxy.ts:173,"[""makenotion/notion-mcp-server"",""1d38420769c8a1fe2d583ff1e7d2d108d4eb0b30"","""",""API-get-users"",""openWorldHint""]",166a13babe1f171731aa4bf7d2aedbd4f2df36f01f349ed15682681f322d8d45
S033,33,openWorldHint,true,mark3labs/mcp-filesystem-server,https://github.com/mark3labs/mcp-filesystem-server,ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b,,write_file,filesystemserver/server.go:41,"[""mark3labs/mcp-filesystem-server"",""ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b"","""",""write_file"",""openWorldHint""]",141e66b1306138bb57a25c743a3ddb78af7d1f6e16f3e7a676a73f6195689b9b
S034,34,openWorldHint,true,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,get_team_members,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""get_team_members"",""openWorldHint""]",02ae341e05e08bf65489c8101cb35198e998da940bb54312adfafccb6fdc6b35
S035,35,openWorldHint,true,KnockOutEZ/wigolo,https://github.com/KnockOutEZ/wigolo,b3ccf92be3ac15ce3ad5a439be11777d992996a3,,crawl,src/server.ts tools/list; description at src/instructions.ts:230,"[""KnockOutEZ/wigolo"",""b3ccf92be3ac15ce3ad5a439be11777d992996a3"","""",""crawl"",""openWorldHint""]",39f45e68bd74344a374a0c10779fe8834d3407461b8ca562973a7e3ca456a216
S036,36,openWorldHint,true,korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,b88c0de3f706f4f07337c9eda7133c736d1c9524,,conversations_unreads,pkg/server/server.go:321,"[""korotovsky/slack-mcp-server"",""b88c0de3f706f4f07337c9eda7133c736d1c9524"","""",""conversations_unreads"",""openWorldHint""]",20ea1cdc3997443743e5c8c7c585395b5c18f2678dae817a28fdd8aff7098b38
S037,37,openWorldHint,true,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,manage_notification_subscription,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""manage_notification_subscription"",""openWorldHint""]",02fde9d3b65188a82b6374828b3b453f8b63b30a962cedebe06048b7b7779fcc
S038,38,openWorldHint,true,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,search_issues,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""search_issues"",""openWorldHint""]",080a98a00c1ddbb36934eb4fdfa192ff11dff424db5924841c894a0d26dcff05
S039,39,openWorldHint,true,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,delete_file,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""delete_file"",""openWorldHint""]",09ea14faeef3b64898caa22fd31d1b12fe51c011dec8d5f4ba78769b23558359
S040,40,openWorldHint,true,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,dismiss_notification,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""dismiss_notification"",""openWorldHint""]",12964a93b0acedba721d15a386236a3d3af5e1909df63b7cd70f36b71c2852e4
